k1	kN1	k2	kN2	k3	kN3	RSS
5.73837	3095.45	112288.0	22.3829	0.0772245	0.000412074	2.95321
19.832	0.24240599999999998	10.7741	68.2339	35.3144	20.3668	3.22918
46.7094	0.00285267	4.94139	114.288	5.01255	2520.66	5.51506
7.223889999999999	126.823	587.399	3.52779	0.06814869999999999	0.0822832	3.2092400000000003
1184.8	0.884647	3.32901	564.237	6.97777	0.107831	2.8203400000000003
9.40775	0.0008165119999999999	25608.6	99002.9	48.6586	67.2356	5.6208599999999995
248646.0	5973230.0	186.547	0.000538831	0.12548299999999998	0.00191918	6.79736
296629.0	4359650.0	113.318	0.188316	0.0803586	1.19724e-05	5.490469999999999
458.894	158.94	5.5355300000000005	1.9105400000000001	0.000111895	7018.26	2.79892
5.58599	17.0693	196806.0	7167.0	0.07594780000000001	0.00261118	2.93613
