k1	kN1	k2	kN2	k3	kN3	RSS
5701200.0	1983480.0	5.48805	1.9489400000000001	0.0007210360000000001	324.543	2.8006900000000003
5.185219999999999	7.56268	111393.0	8943.92	23.9732	3778550.0	3.38825
5.35037	48.4202	9307.63	124.19200000000001	24964.4	253790.0	3.52314
3251.05	289445.0	1394.49	1.90881	2404530.0	847207.0	2.7951099999999998
131.529	49.7075	5.9743900000000005	1.91483	0.00181965	1310490.0	2.80715
14915.6	4621.45	5.15269	1.9971900000000002	0.001125	60.9599	2.80695
1324.14	654.972	6.990419999999999	1.62628	369.92800000000005	1140.58	2.81937
1423.47	426.91900000000004	5.38586	2.13008	0.176787	0.104406	2.5396400000000003
468831.0	0.365563	3.4428199999999998	419405.0	0.129474	0.021338	3.11901
6.514880000000001	1.54492	45.5125	19.3844	0.0464264	0.00613804	2.8132200000000003
