time,A,B,P,cat,A_indep,B_indep,P_indep,cat_indep
0.0,0.5,0.8,0.0,0.03,0.5,0.8,0.0,0.03
0.5128205128205128,0.4530650488733028,0.7411407761435829,0.034498349239549,,,,,
1.0256410256410255,0.3578538211960356,0.7318271889766289,0.0749075705562243,,,,,
1.5384615384615383,0.3745637448605375,0.7625475787112764,0.1129631186311226,,,,,
2.051282051282051,0.3363064465611128,0.6893680983725367,0.1365566984408866,,,,,
2.564102564102564,0.3241163227748956,0.6462498463591614,0.1585346915084989,,,,,
3.0769230769230766,0.3066807523948633,0.6059211962466312,0.1854306219234597,,,,,
3.589743589743589,0.2744015219278638,0.6408991957026573,0.2030789393770327,,,,,
4.102564102564102,0.2693224871311888,0.6161895574116125,0.2172353259563743,,,,,
4.615384615384615,0.2405675839870829,0.5500523815475844,0.2387139260860795,,,,,
5.128205128205128,0.2304844694350697,0.536465368535144,0.2769200649886722,,,,,
5.6410256410256405,0.2207383664523822,0.5831044289079645,0.2510040501979146,,,,,
6.153846153846153,0.214259420061761,0.4971072006690711,0.2611692027517413,,,,,
6.666666666666666,0.2132097937440584,0.4741358068010733,0.291538753923363,,,,,
7.179487179487179,0.198118862253072,0.51464550707813,0.3056905971419709,,,,,
7.692307692307692,0.1921540209161644,0.490473812327439,0.2983299678647652,,,,,
8.205128205128204,0.1721568953548869,0.4703547944814825,0.3007188109226096,,,,,
8.717948717948717,0.1718702748165627,0.5004258375068755,0.3276151709823429,,,,,
9.23076923076923,0.1658306239613318,0.4684375758248676,0.3266481633204357,,,,,
9.743589743589745,0.1574758901902743,0.423469853959631,0.3286345793678927,,,,,
10.256410256410255,0.1425882505426184,0.4833592653242951,0.3662862415918155,,,,,
10.769230769230768,0.1445881313983559,0.4744908646226037,0.3495582945324701,,,,,
11.28205128205128,0.147776702595655,0.4541517390780152,0.3407650420844406,,,,,
11.794871794871794,0.1345224511914831,0.4499447550687122,0.3546428271683869,,,,,
12.307692307692308,0.136689501154344,0.4615543369472802,0.3252408438676359,,,,,
12.82051282051282,0.1257990444885054,0.4701293671063093,0.356661423004488,,,,,
13.333333333333332,0.1283947268332474,0.4555079592608945,0.3325776079661137,,,,,
13.846153846153843,0.1305702329622692,0.450044461122648,0.3624444706657266,,,,,
14.358974358974358,0.1231021687128532,0.4044444171376552,0.3764334532395622,,,,,
14.87179487179487,0.1334737466585993,0.4522504869652244,0.3626085427219193,,,,,
15.384615384615383,0.1275717329521687,0.4423610704766863,0.3718135678774935,,,,,
15.897435897435896,0.1192563084031073,0.4352049727746155,0.3345285226227134,,,,,
16.41025641025641,0.1175806584248047,0.407860826392765,0.3920117020689129,,,,,
16.92307692307692,0.1057593890811656,0.4580629651709616,0.3592401086537464,,,,,
17.435897435897434,0.1025665814004146,0.4210152991785208,0.3534439303243125,,,,,
17.94871794871795,0.1135663568919456,0.4546339665944829,0.3979897199712583,,,,,
18.46153846153846,0.1092335002120549,0.4136267610833118,0.3659113039701754,,,,,
18.97435897435897,0.1149065891450761,0.4383397802880617,0.3760440149580696,,,,,
19.487179487179485,0.1114880302379433,0.4223730498030346,0.3677695747092216,,,,,
20.0,0.118975619150771,0.4089809227818168,0.34261465768058543,,,,,
